id,rest_name,rest_address,dish_category,dish_name,dish_disc,dish_ingredients,dish_style,dish_mood,dish_rec_nutritionist,dish_rec_community,dish_rec_a_oblomov,dish_rec_a_ivlev,stat_reviews,stat_rating,foodToMoodCoin,url,dish_price,dish_g
1,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Завтрак,Омлет,"Содерщащаяся в яйцах аминокислота триптофан, помогает поддерживать оптимальный уровень серотонина и налаживает функционирование организма. Кальций и витамины группы B способствуют укреплению мышц, здоровья костей и благоприятно скажутся на работе нервной системы, что обязательно поднимет вам настроение в начале дня.; Б1,7 Ж2,1 У0,9 Кк29,6","Яйцо, сливки, соль, подсолнечное масло",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение","Спокойствие = 1, Радость  = 2, Гнев = 3, Печаль = 4, Волнение = 7",,,, ,  ; 5 ; 5 ; 5 ; 5 ; 5 ; 5 ; 5 ; 5 ; 5 ; 5 ; 5 ; 1 ; 5 ; 5 ; 5 ; 5,,https://barmolodezh.ru/?utm_source=yandexmaps,189,120
2,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Завтрак,Завтрак Молодежь,"Наличие в омлете аминокислоты триптофана, витаминов группы В, кальция обеспечит ваш организм необходимыми питательными веществами и укрепит ваш иммунитет.;Б2,8 Ж20,5 У9,2 Кк228,1","Омлет или глазунья или скрембл, огурец, помидоры, салат айсберг, салат руккола, салат Романо, сыр творожный, масло оливковое, масло зелёное, чиабатта, подсолнечное масло, лук зелёный","Стандартное, Диетическое, Вегетарианство","Радость, Печаль, Гнев, Спокойствие, Волнение,","Радость = 1, Спокойствие = 2, Гнев = 4, Печаль = 5, Волнение = 5",,,, ,  ; 5 ; 5 ; 5 ; 5 ; 5,,https://barmolodezh.ru/?utm_source=yandexmaps,549,145
3,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Завтрак,Сырники,"Благодаря содержащимся в сырниках кальцию, магнию, витаминам группы В вы станете себя чувствовать бодрее и энергичнее, укрепите свое здоровье и улучшите самочувствие.;Б8,6 Ж20,5 У18,7 Кк209,1","Сырники, лаймовая сгщенка, сливки, молоко сгущеное, фреш лайма, ягодный соус, смородина, клюква, ягодный соус, смородина, клюква, клубника, сахар, корица, бадьян, арахис, орехи","Стандартное, Вегетарианство","Радость, Печаль, Гнев, Спокойствие, Волнение,","Печаль = 2, Гнев = 1, Спокойствие = 3, Радость  = 4, Волнение = 6",,,, ,  ; 1 ; 5 ; 5 ; 5 ; 5 ; 5 ; 5 ; 5 ; 5 ; 5 ; 5,,https://barmolodezh.ru/?utm_source=yandexmaps,399,175
4,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Завтрак,Панкейки,"Панкейки на завтрак - очень хороший выбор. Кальций, витамины группы В, триптофан, йод обеспечат заряд сил и энергии на весь день.; Б5,3 Ж10,1 У30,3 Кк232,4","Мука пшеничная, сахар, соль, ванилин, разрыхлитель, яйцо, молоко, подсолнечное масло, лаймовая сгущёнка, сливки, молоко сгущенное, фреш лайма, ягодный соус, смородина, клюква, клубника, сахар, корица, бадьян, тар-тар, груша, киви, мед, мука, молочные продукты, масло, лайм, сгущенка, ягоды","Стандартное, Вегетарианство","Радость, Печаль, Гнев, Спокойствие, Волнение,","Печаль = 3, Спокойствие = 5, Гнев = 6, Радость  = 4, Волнение = 1",,,,  ; круто!,  ; 5 ; 5 ; 5 ; 5 ; 5 ; 5 ; 5 ; 5,,https://barmolodezh.ru/?utm_source=yandexmaps,299,285
5,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Завтрак,Шакшука,"Откройте для себя вкусное и питательное утро с шакшукой. Благодаря сожержащимся в ней витаминам С, Е, В, фосфору, железу ваше тело скажет вам спасибо.;Б9,6 Ж9,4 У2,2 Кк134,7","Лук, перец болгарский, перц чили, подсолнечное масло, томатная паста, томат, зира, кориандр, соль и сахар, яйцо, кинза, чиабатта, перец, овощи, масло, помидоры, овощи, зелень","Стандартное, Диетическое, Вегетарианство","Радость, Печаль, Гнев, Спокойствие, Волнение,","Волнение = 3, Спокойствие = 4, Гнев = 7, Печаль = 7, Радость = 5",,,, ,  ; 5 ; 5 ; 5 ; 5 ; 5 ; 5,,https://barmolodezh.ru/?utm_source=yandexmaps,499,275
8,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Салаты,Теплый салат с печенью цыпленка,"Насыщенный витаминами В12, А, железом, йодом, этот салат поможет укрепить ваш организм и подарит вам бодрость на целый день.;Б12,2 Ж12,3 У5 Кк225,4","Печень цыплёнка, красное вино, карамель, микс-салат, помидоры-черри, огурец, оливковое масло, виноград, курица, мясо, помидоры, томаты, овощи, ягоды, зелень",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Спокойствие = 3, Радость = 2, Гнев = 10, Печаль = 1, Волнение = 5",,,,  ; круто,  ; 5 ; 5 ; 5 ; 5 ; 5,,https://barmolodezh.ru/?utm_source=yandexmaps,499,240
9,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Салаты,Лосось и авокадо,"Откройте для себя вкус и пользу в каждом кусочке салата из лосося и авокадо. В нём содержится омега-3, витамины группы В12, фосфор и калий. Сочный лосось, кремовое авокадо - идеальное сочетание для вашего здоровья и хорошего настроения.;Б6 Ж5,1 У3,8 Кк158","Лосось, авокадо, помидоры-черри, сладкий перец, микс-салат, майонез, соевый соус, рыба, помидоры, томаты, овощи, перец, зелень","Стандартное, Диетическое","Радость, Печаль, Гнев, Спокойствие, Волнение,","Гнев = 5, Волнение = 4, Радость = 1, Печаль = 2, Спокойствие  = 4",,,, ,  ; 5 ; 5 ; 5 ; 5 ; 5,,https://barmolodezh.ru/?utm_source=yandexmaps,899,175
10,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Салаты,Нежный салат с грудкой,"Нежный салат с куриной грудкой хорошо усваивается организмом. Содержащиеся в нем гистидин, омега-3, селен, железо и витамин В12 благоприятно скажутся на вашем самочувствии. А серотонин, безусловно, сделает ваш день незабываемым и полным счастливых воспоминаний.;Б14,2 Ж7,9 У9,6 Кк176,3","Куриное филе, соус ""Терияке"", микс- салат, виноград, помидоры-конкассе, оливковое масло, французский багет, курица, мясо, ягоды, помидоры, томаты, овощи, багет, хлеб",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Волнение = 6, Гнев = 11, Радость = 10, Печаль = 4, Спокойствие  = 9",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,499,170
11,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Салаты,Цезарь с цыпленком,"Откройте для себя секрет здоровья и вкуса с салатом Цезарь с цыпленком. Насыщенный гистидином, серотонином, омегой-3, селеном, железом, витамином В12, этот салат станет вашим источником энергии и хорошего настроения.;Б10,1 Ж3,8 У4,7 Кк188","Листья салата, помидоры-черри, соус ""Цезарь"", крутоны, мусс ""Пармезан "", салат, помидоры, томаты, овощи, мясо, курица",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Спокойствие= 6, Волнение = 7, Радость = 4, Печаль = 3, Гнев = 8",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,699,215
12,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Салаты,Цезарь с креветками,"В данном салате такится секрет здоровья и невероятного вкуса. Насыщенный витаминами А, D, Е, К, бета-каротином, этот салат станет вашим источником энергии и хорошего настроения.;Б10,1 Ж3,5 У4,4 Кк184","Листья салата, помидоры-черри, соус ""Цезарь"", крутоны, мусс ""Пармезан "", салат, помидоры, томаты, овощи, креветки, морепродукты",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Спокойствие = 7, Волнение = 8, Печаль = 5, Радость = 6, Гнев  = 3",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,899,215
